18.0,622.0,137.0,622.0,137.0,648.0,18.0,648.0,20/0112014
350.0,599.0,783.0,591.0,784.0,640.0,351.0,649.0,1HIÊU TTCÁHông Auus
4.0,597.0,206.0,594.0,207.0,612.0,4.0,615.0,st registrtion dte
1.0,562.0,212.0,559.0,212.0,587.0,1.0,590.0,ng ký lần đầu ngày:
50.0,497.0,304.0,497.0,304.0,544.0,50.0,544.0,5981-958-88
386.0,484.0,395.0,484.0,395.0,517.0,386.0,517.0,3
454.0,471.0,498.0,471.0,498.0,510.0,454.0,510.0,
5.0,422.0,242.0,425.0,241.0,453.0,4.0,450.0,n số đăng ký (NPlte)
460.0,426.0,641.0,422.0,641.0,444.0,460.0,448.0,TRƯỞNGPHÒNG
292.0,392.0,561.0,396.0,560.0,421.0,292.0,417.0,Hồ Chí MipkgiTtte)
587.0,391.0,880.0,391.0,880.0,415.0,587.0,415.0,20 tháng 01 năm 2%77
0.0,352.0,191.0,356.0,191.0,380.0,0.0,376.0,uồn gốc (Origin);
346.0,350.0,614.0,349.0,614.0,379.0,346.0,381.0,LR trong nước
284.0,350.0,359.0,350.0,359.0,376.0,284.0,376.0,SX 3
786.0,337.0,799.0,337.0,799.0,344.0,786.0,344.0,
1.0,323.0,138.0,323.0,138.0,345.0,1.0,345.0,t cpcity):
255.0,297.0,305.0,301.0,302.0,331.0,252.0,327.0,02
480.0,292.0,585.0,294.0,584.0,316.0,479.0,314.0,(Cpcity)
1.0,286.0,247.0,288.0,247.0,316.0,1.0,314.0,người được phép chở:
674.0,261.0,728.0,261.0,728.0,288.0,674.0,288.0,124
479.0,260.0,579.0,260.0,579.0,283.0,479.0,283.0,Dung tich
200.0,255.0,379.0,258.0,379.0,286.0,199.0,283.0,TrăngNêu
2.0,259.0,158.0,259.0,158.0,277.0,2.0,277.0,u sơn (Color).;
482.0,229.0,623.0,231.0,622.0,252.0,481.0,250.0,(Model code):
0.0,224.0,137.0,227.0,136.0,249.0,0.0,246.0,ại xe (Type):
199.0,222.0,360.0,223.0,360.0,249.0,198.0,247.0,Hi bsnh
479.0,198.0,560.0,198.0,560.0,224.0,479.0,224.0,Số loại:
579.0,194.0,712.0,197.0,712.0,223.0,578.0,220.0,SH MODE
2.0,195.0,181.0,197.0,180.0,218.0,2.0,216.0,ăn hiệu (Brnd):
239.0,188.0,342.0,190.0,342.0,215.0,239.0,213.0,HONDA
1.0,136.0,808.0,153.0,807.0,183.0,1.0,166.0,1/7/12 L 0 định P7 0.B/Thậnề) 1683"-644252
478.0,114.0,718.0,123.0,717.0,150.0,478.0,141.0,Số khung (ChssiN);
0.0,108.0,165.0,113.0,164.0,134.0,0.0,130.0, chỉ (Address).
693.0,77.0,808.0,79.0,807.0,106.0,692.0,103.0,442SS
579.0,74.0,662.0,74.0,662.0,103.0,579.0,103.0,F51B
216.0,64.0,326.0,66.0,326.0,91.0,215.0,89.0,1HANH
338.0,57.0,427.0,57.0,427.0,96.0,338.0,96.0,BĂNG
80.0,57.0,206.0,63.0,205.0,90.0,79.0,85.0,vú TH
480.0,38.0,650.0,47.0,649.0,72.0,478.0,63.0,Số máy (Engine
0.0,28.0,315.0,36.0,314.0,61.0,0.0,52.0,n chủ xe (Qwner's full nme)
